,university_name,score_cwur,score_shanghai,score_times,mean_score
64,Chalmers University of Technology,-0.23050937377545047,,,-0.23050937377545047
645,University of Central Florida,-0.23050937377545047,,,-0.23050937377545047
70,Chiba University,-0.23223254098808607,,,-0.23223254098808607
665,University of Delhi,-0.23309412459440632,,,-0.23309412459440632
1007,Yokohama National University,-0.2339557082007241,,,-0.2339557082007241
764,University of Milan  Bicocca,-0.2339557082007241,,,-0.2339557082007241
61,Catholic University of the Sacred Heart,-0.2339557082007241,,,-0.2339557082007241
223,Iran University of Science and Technology,-0.42264251798449176,,-0.045382155168600766,-0.23401233657654627
2,Aalto University,-0.2348172918070419,,,-0.2348172918070419
430,Pontifical Catholic University of Chile,-0.23826362623231673,,,-0.23826362623231673
415,Paris Diderot University  Paris 7,0.17874283922587372,,-0.657574027437373,-0.23941559410574964
271,Kumamoto University,-0.23998679344495352,,,-0.23998679344495352
47,Brigham Young University,-0.23998679344495352,,,-0.23998679344495352
243,Joseph Fourier University,0.15892641628054616,,-0.6404497792620225,-0.24076168149073818
129,Etvs Lornd University,-0.24084837705127254,,,-0.24084837705127254
238,Jilin University,-0.24170996065759157,,,-0.24170996065759157
365,National Tsing Hua University,-0.24170996065759157,,,-0.24170996065759157
77,Chonbuk National University,-0.24170996065759157,,,-0.24170996065759157
601,University of Bath,-0.24343312787022836,,,-0.24343312787022836
99,Concordia University,-0.24515629508286518,,,-0.24515629508286518
881,University of Strasbourg,0.266624367070368,-0.75851872953008,,-0.245947181229856
159,George Mason University,-0.247741045901821,,,-0.247741045901821
639,University of Campinas,-0.247741045901821,,,-0.247741045901821
163,Georgia Regents University,-0.24860262950813877,,,-0.24860262950813877
993,Wuhan University,-0.24860262950813877,,,-0.24860262950813877
519,Swedish University of Agricultural Sciences,-0.24860262950814002,,,-0.24860262950814002
971,Vienna University of Technology,-0.24946421311445902,,,-0.24946421311445902
532,Technical University of Madrid,-0.2503257967207768,,,-0.2503257967207768
917,University of Twente,-0.2503257967207768,,,-0.2503257967207768
504,Southeast University,-0.2503257967207768,,,-0.2503257967207768
175,Gyeongsang National University,-0.25291054753973263,,,-0.25291054753973263
219,Innsbruck Medical University,-0.25291054753973263,,,-0.25291054753973263
593,University of Arkansas for Medical Sciences,-0.2546337147523707,,,-0.2546337147523707
324,Middle East Technical University,-0.25549529835868845,,,-0.25549529835868845
889,University of Tampere,-0.2563568819650063,,,-0.2563568819650063
986,West Virginia University,-0.25808004917764427,,,-0.25808004917764427
484,Shandong University,-0.2589416327839621,,,-0.2589416327839621
817,University of Oulu,-0.2598032163902811,,,-0.2598032163902811
298,Loyola University Chicago,-0.2598032163902811,,,-0.2598032163902811
8,Ajou University,-0.2598032163902811,,,-0.2598032163902811
337,Nagoya University,0.18305075725746633,-0.7033329635757738,,-0.26014110315915373
649,University of Chile,-0.2615263836029179,,,-0.2615263836029179
321,Miami University,-0.2615263836029179,,,-0.2615263836029179
705,University of Hong Kong,0.3312431375442611,,-0.8545028814539009,-0.2616298719548199
936,University of Warsaw,-0.2623879672092369,,,-0.2623879672092369
50,Brunel University,-0.2623879672092369,,,-0.2623879672092369
692,University of Granada,-0.26324955081555595,,,-0.26324955081555595
182,Harbin Institute of Technology,-0.26324955081555595,,,-0.26324955081555595
151,Free University of Berlin,0.3786302358917837,,-0.9058756259799519,-0.2636226950440841
591,University of Arizona,0.7280023882539651,-0.5836253689139034,-0.9401241223306522,-0.2652490343301968
555,Tokyo University of Science,-0.26583430163451177,,,-0.26583430163451177
436,Pusan National University,-0.26583430163451177,,,-0.26583430163451177
383,Niigata University,-0.26669588524082954,,,-0.26669588524082954
978,Wake Forest University,0.39413874080551736,,-0.9315619982429774,-0.26871162871873
569,University College Cork,-0.26928063605978536,,,-0.26928063605978536
334,Nagasaki University,-0.26928063605978536,,,-0.26928063605978536
782,University of Mnster,0.14341791136681123,,-0.6832603997003982,-0.2699212441667935
515,Stony Brook University,0.22469396489619753,,-0.7646005785333122,-0.26995330681855734
773,University of Modena and Reggio Emilia,-0.27014221966610436,,,-0.27014221966610436
63,Central South University,-0.2710038032724222,,,-0.2710038032724222
666,University of Denver,-0.2727269704850602,,,-0.2727269704850602
286,Leiden University,0.3148730490242084,-0.5026906754372684,-0.6318876551743475,-0.2732350938624692
428,Polytechnic University of Valencia,-0.273588554091378,,,-0.273588554091378
249,Kanazawa University,-0.2753117213040148,,,-0.2753117213040148
170,Grenoble Institute of Technology,-0.2761733049103338,,,-0.2761733049103338
824,University of Parma,-0.2761733049103338,,,-0.2761733049103338
533,Technical University of Munich,0.35220833863134693,-0.27663170400252945,-0.9058756259799519,-0.27676633045037813
792,University of Nevada Reno,-0.2770348885166528,,,-0.2770348885166528
882,University of Strathclyde,-0.2796196393356086,,,-0.2796196393356086
401,Ohio University,-0.2796196393356086,,,-0.2796196393356086
851,University of Rostock,-0.28048122294192646,,,-0.28048122294192646
931,University of Vienna,0.12101673760252907,,-0.6832603997003982,-0.28112183104893457
503,South China University of Technology,-0.28134280654824545,,,-0.28134280654824545
302,Macquarie University,-0.28134280654824545,,,-0.28134280654824545
229,Jagiellonian University,-0.2822043901545645,,,-0.2822043901545645
16,Aristotle University of Thessaloniki,-0.2830659737608823,,,-0.2830659737608823
726,University of KwaZuluNatal,-0.28392755736720127,,,-0.28392755736720127
858,University of Saskatchewan,-0.2847891409735203,,,-0.2847891409735203
697,University of Gttingen,0.2881639572283324,-0.7033329635757736,-0.4392398632016566,-0.28480295651636595
906,University of Tokushima,-0.2856507245798381,,,-0.2856507245798381
101,Cranfield University,-0.28651230818615586,,,-0.28651230818615586
767,University of Mississippi  Oxford Campus,-0.28651230818615586,,,-0.28651230818615586
531,Technical University of Dortmund,-0.2865123081861571,,,-0.2865123081861571
245,Juntendo University,-0.2865123081861571,,,-0.2865123081861571
948,University of Wyoming,-0.28737389179247613,,,-0.28737389179247613
208,Indian Institute of Science,-0.28737389179247613,,,-0.28737389179247613
448,Rice University,0.3079803801736587,-0.7106091121272445,-0.46064517342084443,-0.28775796845814344
847,University of Rennes 1,-0.2882354753987939,,,-0.2882354753987939
36,Bielefeld University,-0.2882354753987939,,,-0.2882354753987939
541,Texas Tech University TTU,-0.2882354753987939,,,-0.2882354753987939
777,University of Montpellier 1,-0.28995864261143073,,,-0.28995864261143073
264,King Saud University,-0.28995864261143073,,,-0.28995864261143073
701,University of Hawaii at Manoa,-0.28995864261143195,,,-0.28995864261143195
953,University of Zurich,0.34761322606431383,-0.30454021899447226,-0.9144377500676271,-0.2904549143325952
198,Huazhong University of Science and Technology,-0.2365404590196799,,-0.34505649823723056,-0.2907984786284552
788,University of Nebraska Omaha,-0.2908202262177497,,,-0.2908202262177497
725,University of Konstanz,-0.2908202262177497,,,-0.2908202262177497
206,Illinois Institute of Technology,-0.29340497703670554,,,-0.29340497703670554
499,Sogang University,-0.29426656064302337,,,-0.29426656064302337
1006,Yokohama City University,-0.2942665606430246,,,-0.2942665606430246
